Ano;Mês;Dia;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (KJ/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);LATITUDE;LONGITUDE;ALTITUDE
2019;01;01;00;0;969,2;969,2;968,4;;31,4;13;32,6;31,4;13;10,5;33;26;33;143;5,3;1,9;-9,388323;-40,523262;372,72
2019;01;01;01;0;969,5;969,5;969,2;;30,8;13,5;31,4;30,7;13,5;13;35;33;35;156;4,7;1,8;-9,388323;-40,523262;372,72
2019;01;01;02;0;969,5;969,6;969,4;;30,1;13,7;30,8;30,1;13,7;13,4;37;35;37;138;5,1;3;-9,388323;-40,523262;372,72
2019;01;01;03;0;969,6;969,7;969,4;;28,9;14,8;30,1;28,9;14,8;13,5;42;37;42;122;7,6;2,7;-9,388323;-40,523262;372,72
2019;01;01;04;0;969,5;969,7;969,5;;28,1;17;28,9;28,1;17,1;14,8;51;42;51;106;5,6;2,8;-9,388323;-40,523262;372,72
2019;01;01;05;0;969,8;969,8;969,5;;27,3;18,4;28,1;27,2;18,4;17;58;51;58;117;6,2;2,7;-9,388323;-40,523262;372,72
2019;01;01;06;0;970,1;970,1;969,7;;26,7;18,5;27,4;26,7;18,5;18,4;61;58;61;124;7,8;2,9;-9,388323;-40,523262;372,72
2019;01;01;07;0;970,7;970,7;970,1;;26,1;18,4;26,7;26,1;18,4;18,3;62;60;62;128;6,8;3,4;-9,388323;-40,523262;372,72
2019;01;01;08;0;971,6;971,6;970,7;;25,5;18,2;26,1;25,5;18,4;18,2;65;63;64;123;6,9;3,4;-9,388323;-40,523262;372,72
2019;01;01;09;0;972,8;972,8;971,6;14,3;25;17,4;25,5;24,9;18,2;17,4;64;63;63;116;7,4;4,1;-9,388323;-40,523262;372,72
2019;01;01;10;0;973,2;973,3;972,8;233;25,2;16,9;25,7;24,8;17,4;16,9;63;59;60;119;9,2;4,4;-9,388323;-40,523262;372,72
